Pos	F0_freq	F60_freq
2245404	0.233333	0.76
4528622	0.00333333	0.0
5049466	0.393333	0.97
6628840	0.43	0.97
7495139	0.03	0.246667
8621469	0.443333	0.993333
8689736	0.0666667	0.733333
10711374	0.123333	0.6
12660942	0.216667	0.76
13448522	0.03	0.313333
15005929	0.09	0.543333
15727620	0.00333333	0.0
18316355	0.306667	0.923333
18547865	0.02	0.27
19868639	0.0833333	0.503333
22147473	0.126667	0.0866667
22339426	0.01	0.0
24339303	0.03	0.433333
25458768	0.0166667	0.0
25794376	0.0833333	0.823333
25828495	0.0433333	0.78
27440095	0.00333333	0.0
27536515	0.373333	0.986667
30206453	0.186667	0.33
30540332	0.0666667	0.843333
30651125	0.116667	0.913333
32780587	0.333333	0.976667
33114896	0.0433333	0.0633333
35499448	0.0233333	0.0
36733417	0.00666667	0.583333
36863533	0.0233333	0.0
39430346	0.0833333	0.196667
40375992	0.0433333	0.0333333
40537949	0.113333	0.446667
41165431	0.113333	0.51
42195815	0.0966667	0.236667
43168208	0.0966667	0.493333
43693383	0.123333	0.346667
45379878	0.373333	0.946667
45609340	0.47	0.893333
46173716	0.186667	0.716667
46866430	0.01	0.0
47048074	0.0233333	0.296667
49220377	0.0133333	0.06
49613178	0.6	1.0
50752115	0.05	0.31
51507954	0.13	0.7
51822497	0.03	0.166667
52528589	0.446667	0.94
53303741	0.0233333	0.756667
53790973	0.256667	0.59
54026781	0.206667	0.433333
54894929	0.386667	0.963333
55616136	0.57	1.0
57009090	0.0266667	0.256667
57060100	0.0466667	0.656667
58176785	0.136667	0.133333
58460188	0.5	1.0
58860012	0.02	0.0
59703696	0.09	0.153333
60519056	0.06	0.4
62857097	0.03	0.276667
63510033	0.0166667	0.0
66004696	0.0866667	0.27
66240084	0.19	0.606667
66859993	0.316667	0.513333
66937487	0.00666667	0.0
67630852	0.06	0.14
69416938	0.0633333	0.0533333
70451926	0.0566667	0.0
71039110	0.0166667	0.36
71321665	0.163333	0.723333
71772768	0.126667	0.623333
72264082	0.01	0.0
72352365	0.0533333	0.0
73796809	0.02	0.476667
74210131	0.2	0.7
74235260	0.0266667	0.0
77707206	0.01	0.0
79182171	0.123333	0.34
79454494	0.13	0.33
80494647	0.0533333	0.763333
80639915	0.01	0.0
83251683	0.0666667	0.153333
83588933	0.0266667	0.03
84255528	0.576667	0.956667
85765789	0.00666667	0.0
88248840	0.123333	0.34
