Pos	F0_freq	F60_freq
2245404	0.233333	0.433333
4528622	0.00333333	0.0
5049466	0.393333	0.846667
6628840	0.43	0.926667
7495139	0.03	0.0933333
8621469	0.443333	0.83
8689736	0.0666667	0.0
10711374	0.123333	0.23
12660942	0.216667	0.453333
13448522	0.03	0.106667
15005929	0.09	0.0
15727620	0.00333333	0.0
18316355	0.306667	0.876667
18547865	0.02	0.0533333
19868639	0.0833333	0.27
22147473	0.126667	0.63
22339426	0.01	0.0
24339303	0.03	0.17
25458768	0.0166667	0.0666667
25794376	0.0833333	0.516667
25828495	0.0433333	0.243333
27440095	0.00333333	0.0
27536515	0.373333	0.99
30206453	0.186667	0.0133333
30540332	0.0666667	0.226667
30651125	0.116667	0.146667
32780587	0.333333	0.756667
33114896	0.0433333	0.0
35499448	0.0233333	0.0
36733417	0.00666667	0.0
36863533	0.0233333	0.0
39430346	0.0833333	0.0266667
40375992	0.0433333	0.103333
40537949	0.113333	0.32
41165431	0.113333	0.283333
42195815	0.0966667	0.51
43168208	0.0966667	0.53
43693383	0.123333	0.3
45379878	0.373333	0.953333
45609340	0.47	0.97
46173716	0.186667	0.466667
46866430	0.01	0.08
47048074	0.0233333	0.243333
49220377	0.0133333	0.0
49613178	0.6	0.99
50752115	0.05	0.0533333
51507954	0.13	0.636667
51822497	0.03	0.32
52528589	0.446667	0.643333
53303741	0.0233333	0.313333
53790973	0.256667	0.593333
54026781	0.206667	0.72
54894929	0.386667	0.98
55616136	0.57	0.993333
57009090	0.0266667	0.0
57060100	0.0466667	0.283333
58176785	0.136667	0.426667
58460188	0.5	0.943333
58860012	0.02	0.04
59703696	0.09	0.403333
60519056	0.06	0.143333
62857097	0.03	0.0
63510033	0.0166667	0.0
66004696	0.0866667	0.223333
66240084	0.19	0.51
66859993	0.316667	0.763333
66937487	0.00666667	0.0833333
67630852	0.06	0.346667
69416938	0.0633333	0.04
70451926	0.0566667	0.02
71039110	0.0166667	0.0
71321665	0.163333	0.476667
71772768	0.126667	0.68
72264082	0.01	0.0
72352365	0.0533333	0.0966667
73796809	0.02	0.0
74210131	0.2	0.68
74235260	0.0266667	0.256667
77707206	0.01	0.0
79182171	0.123333	0.586667
79454494	0.13	0.31
80494647	0.0533333	0.176667
80639915	0.01	0.0
83251683	0.0666667	0.03
83588933	0.0266667	0.0
84255528	0.576667	0.99
85765789	0.00666667	0.0
88248840	0.123333	0.25
