Pos	F0_freq	F60_freq
2245404	0.233333	0.876667
4528622	0.00333333	0.423333
5049466	0.393333	0.996667
6628840	0.43	0.963333
7495139	0.03	0.25
8621469	0.443333	0.913333
8689736	0.0666667	0.236667
10711374	0.123333	0.403333
12660942	0.216667	0.906667
13448522	0.03	0.0
15005929	0.09	0.813333
15727620	0.00333333	0.0
18316355	0.306667	0.96
18547865	0.02	0.58
19868639	0.0833333	0.263333
22147473	0.126667	0.866667
22339426	0.01	0.0
24339303	0.03	0.14
25458768	0.0166667	0.0
25794376	0.0833333	0.55
25828495	0.0433333	0.433333
27440095	0.00333333	0.0
27536515	0.373333	0.93
30206453	0.186667	0.96
30540332	0.0666667	0.686667
30651125	0.116667	0.163333
32780587	0.333333	1.0
33114896	0.0433333	0.31
35499448	0.0233333	0.01
36733417	0.00666667	0.956667
36863533	0.0233333	0.106667
39430346	0.0833333	0.683333
40375992	0.0433333	0.726667
40537949	0.113333	0.786667
41165431	0.113333	0.776667
42195815	0.0966667	0.503333
43168208	0.0966667	0.603333
43693383	0.123333	0.263333
45379878	0.373333	0.95
45609340	0.47	0.973333
46173716	0.186667	0.856667
46866430	0.01	0.0
47048074	0.0233333	0.216667
49220377	0.0133333	0.123333
49613178	0.6	1.0
50752115	0.05	0.126667
51507954	0.13	0.873333
51822497	0.03	0.0
52528589	0.446667	0.94
53303741	0.0233333	0.0233333
53790973	0.256667	0.956667
54026781	0.206667	0.693333
54894929	0.386667	0.98
55616136	0.57	0.983333
57009090	0.0266667	0.0
57060100	0.0466667	0.146667
58176785	0.136667	0.486667
58460188	0.5	0.993333
58860012	0.02	0.0
59703696	0.09	0.536667
60519056	0.06	0.03
62857097	0.03	0.0
63510033	0.0166667	0.166667
66004696	0.0866667	0.32
66240084	0.19	0.866667
66859993	0.316667	0.89
66937487	0.00666667	0.0
67630852	0.06	0.04
69416938	0.0633333	0.106667
70451926	0.0566667	0.15
71039110	0.0166667	0.596667
71321665	0.163333	0.92
71772768	0.126667	0.47
72264082	0.01	0.0
72352365	0.0533333	0.113333
73796809	0.02	0.636667
74210131	0.2	0.64
74235260	0.0266667	0.133333
77707206	0.01	0.0
79182171	0.123333	0.193333
79454494	0.13	0.796667
80494647	0.0533333	0.49
80639915	0.01	0.0
83251683	0.0666667	0.6
83588933	0.0266667	0.113333
84255528	0.576667	0.776667
85765789	0.00666667	0.0
88248840	0.123333	0.31
