Pos	F0_freq	F60_freq
1	0.233333	0.67
2	0.00333333	0.0
3	0.393333	0.766667
4	0.43	0.906667
5	0.03	0.196667
6	0.443333	0.97
7	0.0666667	0.06
8	0.123333	0.326667
9	0.216667	0.76
10	0.03	0.33
11	0.09	0.516667
12	0.00333333	0.0
13	0.306667	0.69
14	0.02	0.08
15	0.0833333	0.49
16	0.126667	0.0833333
17	0.01	0.0
18	0.03	0.0333333
19	0.0166667	0.163333
20	0.0833333	0.866667
21	0.0433333	0.106667
22	0.00333333	0.0
23	0.373333	0.823333
24	0.186667	0.903333
25	0.0666667	0.283333
26	0.116667	0.02
27	0.333333	0.61
28	0.0433333	0.506667
29	0.0233333	0.44
30	0.00666667	0.0
31	0.0233333	0.0466667
32	0.0833333	0.116667
33	0.0433333	0.0466667
34	0.113333	0.12
35	0.113333	0.136667
36	0.0966667	0.0233333
37	0.0966667	0.14
38	0.123333	0.453333
39	0.373333	0.813333
40	0.47	1.0
41	0.186667	0.78
42	0.01	0.0
43	0.0233333	0.05
44	0.0133333	0.0
45	0.6	0.996667
46	0.05	0.11
47	0.13	0.223333
48	0.03	0.0766667
49	0.446667	0.98
50	0.0233333	0.0
51	0.256667	0.526667
52	0.206667	0.66
53	0.386667	0.966667
54	0.57	1.0
55	0.0266667	0.326667
56	0.0466667	0.17
57	0.136667	0.453333
58	0.5	0.993333
59	0.02	0.286667
60	0.09	0.8
61	0.06	0.526667
62	0.03	0.233333
63	0.0166667	0.0433333
64	0.0866667	0.176667
65	0.19	0.65
66	0.316667	0.983333
67	0.00666667	0.0
68	0.06	0.03
69	0.0633333	0.0
70	0.0566667	0.0833333
71	0.0166667	0.0
72	0.163333	0.173333
73	0.126667	0.486667
74	0.01	0.123333
75	0.0533333	0.2
76	0.02	0.16
77	0.2	0.7
78	0.0266667	0.0
79	0.01	0.0
80	0.123333	0.1
81	0.13	0.336667
82	0.0533333	0.0
83	0.01	0.0
84	0.0666667	0.08
85	0.0266667	0.0333333
86	0.576667	0.956667
87	0.00666667	0.0
88	0.123333	0.336667
