Pos	F0_freq	F60_freq
1	0.233333	0.433333
2	0.00333333	0.0
3	0.393333	0.986667
4	0.43	0.943333
5	0.03	0.216667
6	0.443333	0.873333
7	0.0666667	0.243333
8	0.123333	0.49
9	0.216667	0.836667
10	0.03	0.0
11	0.09	0.3
12	0.00333333	0.0
13	0.306667	0.986667
14	0.02	0.0
15	0.0833333	0.186667
16	0.126667	0.78
17	0.01	0.0
18	0.03	0.25
19	0.0166667	0.686667
20	0.0833333	0.54
21	0.0433333	0.0
22	0.00333333	0.0
23	0.373333	0.973333
24	0.186667	0.79
25	0.0666667	0.71
26	0.116667	0.513333
27	0.333333	0.87
28	0.0433333	0.803333
29	0.0233333	0.74
30	0.00666667	0.0
31	0.0233333	0.0333333
32	0.0833333	0.7
33	0.0433333	0.443333
34	0.113333	0.773333
35	0.113333	0.723333
36	0.0966667	0.843333
37	0.0966667	0.45
38	0.123333	0.553333
39	0.373333	0.933333
40	0.47	0.996667
41	0.186667	0.733333
42	0.01	0.0
43	0.0233333	0.523333
44	0.0133333	0.186667
45	0.6	1.0
46	0.05	0.0666667
47	0.13	0.533333
48	0.03	0.0266667
49	0.446667	0.963333
50	0.0233333	0.473333
51	0.256667	0.836667
52	0.206667	0.97
53	0.386667	0.846667
54	0.57	0.9
55	0.0266667	0.313333
56	0.0466667	0.25
57	0.136667	0.266667
58	0.5	1.0
59	0.02	0.51
60	0.09	0.773333
61	0.06	0.31
62	0.03	0.05
63	0.0166667	0.05
64	0.0866667	0.566667
65	0.19	0.8
66	0.316667	0.686667
67	0.00666667	0.21
68	0.06	0.77
69	0.0633333	0.0
70	0.0566667	0.663333
71	0.0166667	0.03
72	0.163333	0.836667
73	0.126667	0.3
74	0.01	0.0
75	0.0533333	0.35
76	0.02	0.62
77	0.2	0.693333
78	0.0266667	0.28
79	0.01	0.0
80	0.123333	0.0533333
81	0.13	0.216667
82	0.0533333	0.0433333
83	0.01	0.25
84	0.0666667	0.703333
85	0.0266667	0.0
86	0.576667	1.0
87	0.00666667	0.0
88	0.123333	0.67
